Date,Close,High,Low,Open,Volume
2020-11-02,306.92559814453125,308.93332384063365,304.1742157069411,306.92559814453125,86068300
2020-11-03,312.3446960449219,314.4082189715023,307.00929292148163,310.16963593850346,93294200
2020-11-04,319.3252868652344,323.4151432960798,315.65369476603786,316.83416747960666,126959700
2020-11-05,325.5529479980469,327.3655114983096,324.2702142429703,324.6234340730945,82039700
2020-11-06,325.4786376953125,326.7334873150784,323.1455483916412,325.2648392554505,74973000
2020-11-09,329.5684509277344,338.69628436700145,329.103693970947,338.3151802584542,172304200
2020-11-10,329.085205078125,330.1448364825855,325.8040211888103,328.57395526410835,85552000
2020-11-11,331.5298156738281,332.35706849505874,330.0332831809549,331.27882870533216,58649000
2020-11-12,328.3135681152344,331.5761706976934,326.50103318782095,330.5165113279506,67546200
2020-11-13,332.8590087890625,333.6026087311802,329.7079423371588,330.2284679699451,62892200
2020-11-16,337.0139465332031,337.2091365588106,334.24398420061374,335.5360224634201,74541100
2020-11-17,335.2013854980469,336.409770903095,333.0820943880079,334.59720697878305,66111000
2020-11-18,331.1672668457031,336.01933135427623,331.13007834082595,335.4709214650384,70591300
2020-11-19,332.5616149902344,332.9334150256051,329.1874736453594,330.53528068591817,59940900
2020-11-20,330.2843017578125,332.50585453742735,330.20995309552933,332.3013602579922,70417300
2020-11-23,332.2641296386719,333.5282836694918,329.85669132516,332.0968238948421,63230600
2020-11-24,337.6181640625,338.1665740612137,333.9651798999618,334.82031711721845,62415900
2020-11-25,337.0975341796875,337.5622911569882,336.00071452122154,337.5344068730107,45330900
2020-11-27,338.0364074707031,338.5104403756147,337.02321213244505,338.1944089835005,28514100
2020-11-30,336.5398254394531,337.52510797754314,333.85354481889163,337.2555409838347,83872700
2020-12-01,340.220703125,341.76369976470494,339.20753627179033,339.8024388460691,74231400
2020-12-02,340.9365234375,341.09452496721,338.5290850488173,339.10537931768437,45927000
2020-12-03,340.843505859375,342.2377769204486,339.7373818816019,340.8342016416823,62882000
2020-12-04,343.7808532714844,343.7808532714844,341.3362262394426,341.4291833383519,50749900
2020-12-07,343.0743713378906,343.5670126985919,341.80094150173,343.00929853997224,48944300
2020-12-08,344.0782470703125,344.6452370556998,341.75446181901555,341.8009261774338,42458900
2020-12-09,340.9923095703125,344.8962524151043,340.155752415466,344.73825087726243,74098300
2020-12-10,340.8807678222656,341.9310950867418,338.74286804799897,339.6166137038823,57735400
2020-12-11,340.4810485839844,340.8900371114811,337.6553457695817,339.1797343449143,57698600
2020-12-14,338.9565734863281,343.73426062304117,338.7799635596942,342.65604936198173,69216200
2020-12-15,343.5391540527344,343.5391540527344,340.12785278149966,341.50351566005907,63865300
2020-12-16,344.0782470703125,344.99845695254,342.86986171972654,343.7529114618271,58420500
2020-12-17,346.0023193359375,346.20681357249737,344.89619528816195,345.7234764526828,64119500
2020-12-18,344.62078857421875,346.4597381046368,342.6044762600976,346.29171920031933,136542300
2020-12-21,343.3885803222656,353.2834348654009,337.9464259916311,340.690848610834,96386700
2020-12-22,342.8098449707031,343.82733077167063,341.68034656595023,343.7153181678852,47949000
2020-12-23,343.117919921875,345.0315351063921,342.79119749130325,343.7806801753628,46201400
2020-12-24,344.4527587890625,344.4807619388975,343.00588190186073,343.5939480483956,26457900
2020-12-28,347.4118957519531,347.8039398547463,346.38506609890993,347.01047928251126,39000400
2020-12-29,346.7491149902344,349.1201528820118,346.1610203351437,348.94279009754194,53680500
2020-12-30,347.2438659667969,348.2800395515808,346.85182184412906,347.57058839397877,49455300
2020-12-31,349.0081481933594,349.7362586191651,346.53444152154736,347.0478421277476,78520700
2021-01-04,344.2567443847656,350.47370017311397,340.5508422079817,350.34299981269083,110210800
2021-01-05,346.6277770996094,347.71995701585035,343.5659756645781,343.61266657677504,66426200
2021-01-06,348.7000732421875,351.9019187189158,344.5647799187049,345.11552753738533,107997700
2021-01-07,353.8808288574219,354.627598413459,350.90303753627427,351.0804002911338,68766800
2021-01-08,355.89715576171875,356.1118370621761,352.01389123519994,355.2717141545609,71677200
2021-01-11,353.4981384277344,355.26239380181204,352.5926652872222,352.71402176287364,51034700
2021-01-12,353.5728759765625,354.5903619209888,351.3231942418903,353.6849170835824,52547700
2021-01-13,354.5249938964844,355.52379194885276,352.7140474834026,353.4981642054425,45303600
2021-01-14,353.2834167480469,355.77581089223776,352.9473789690196,355.27172573626217,49989100
2021-01-15,350.70703125,352.4619426341767,348.8400787887009,351.6591667497863,107160000
2021-01-19,353.4607849121094,354.0022171031651,351.6871856917085,353.1714095466067,51233300
2021-01-20,358.35235595703125,359.19247922371085,355.36521935611944,355.7572635864285,61836100
2021-01-21,358.6788635253906,359.34165209686404,357.75473126120266,358.9122325607861,47840100
2021-01-22,357.4093933105469,358.5762386300744,356.4385700282183,356.82129871151545,52860500
2021-01-25,358.8190612792969,359.1737584354347,353.28352374055055,358.1469570302598,70402000
2021-01-26,358.2589111328125,360.1818702142021,358.0255420356784,359.77113832425107,42665300
2021-01-27,349.5028076171875,355.01965506445595,347.262470561871,354.9263017522696,123351100
2021-01-28,352.5086669921875,356.5226037699403,350.88442731269146,351.3231338347947,94198100
2021-01-29,345.45159912109375,351.61254871858694,343.77132460135704,350.64172533967934,126765100
