feature,mean,std,adf_pvalue,mean_close_to_zero,std_close_to_one,stationary_adf
R1_z,8.896611883473708e-18,1.000417623739233,1.6636744597143642e-18,True,True,True
R2_z,-5.9310745889824725e-18,1.000417623739233,2.3684673859137907e-11,True,True,True
M1_z,2.965537294491236e-17,1.000417623739233,1.9993397508124326e-09,True,True,True
M2_z,1.1862149177964944e-16,1.000417623739233,3.189098246849786e-05,True,True,True
