feature,mean,std,max,q50,q90,q95,q99
vix_close_z,0.0,1.000417623739233,6.272027029618337,-0.250501383117622,1.4725269438006445,2.07225188176101,2.736842789335379
V1_z,1.4234579013557933e-16,1.000417623739233,5.860013999588857,-0.24192451933075237,1.1763295033160746,1.757306143100557,4.7410404603232505
V2_z,-4.744859671185978e-17,1.000417623739233,3.513908825123993,-0.40338919907192605,1.4850049893520032,1.894496321225983,3.375141954624455
V3_hl10_z,-9.489719342371956e-17,1.000417623739233,5.597927580656186,-0.3336615843189731,1.3805495560075698,1.9644520537037196,3.804207807757867
V3_hl20_z,-1.1862149177964944e-16,1.000417623739233,4.173515240608893,-0.40415380596815154,1.5130327185846377,1.9284681605025549,3.5019052383901568
M_LV_MOVE_level_z,0.0,1.000417623739233,2.8898375390298723,-0.3121478840960182,1.5165255065379553,2.059706555178836,2.651531761602196
