feature,mean,std,min,max,q5,q95
X1_corr_42_z,4.744859671185978e-17,1.000417623739233,-2.3675276602473803,2.054169881540579,-1.916529094799726,1.4678445649595706
X1_corr_ewm_hl10_z,0.0,1.0004176237392328,-2.513712193386837,2.1230588207681462,-1.6909200304633671,1.4786815914367977
X1_corr_ewm_hl20_z,-9.489719342371956e-17,1.000417623739233,-2.7319031475670714,2.0184543362081806,-1.7057609834513368,1.3786175953475632
X2_beta_42_z,3.5586447533894834e-17,1.000417623739233,-2.347340283393688,3.4545815486454305,-1.6903040796656021,1.5622675673132786
X2_beta_63_z,0.0,1.000417623739233,-2.2179735306493575,3.1954259855744516,-1.730248274872903,1.4024509203504207
X2_beta_ewm_hl10_z,-3.5586447533894834e-17,1.000417623739233,-3.933132430128672,2.7356616308088437,-1.6381019760178308,1.5348795924511078
X2_beta_ewm_hl20_z,-4.744859671185978e-17,1.000417623739233,-2.9391912960610154,2.3694232894407117,-1.6856610197173696,1.4414835723037431
