date,vol_bucket,risk_regime
2021-12-28,High_Vol,Risk-Off
2021-12-29,High_Vol,Risk-Off
2021-12-30,Mid_Vol,Risk-Off
2022-01-03,Mid_Vol,Risk-Off
2022-01-04,Mid_Vol,Risk-Off
2022-01-05,Mid_Vol,Risk-Off
2022-01-06,Mid_Vol,Risk-Off
2022-01-07,Mid_Vol,Risk-Off
2022-01-10,Low_Vol,Risk-Off
2022-01-11,Mid_Vol,Risk-Off
2022-01-12,Mid_Vol,Risk-Off
2022-01-13,Mid_Vol,Risk-Off
2022-01-14,Mid_Vol,Risk-Off
2022-01-18,Mid_Vol,Risk-Off
2022-01-19,Mid_Vol,Risk-Off
2022-01-20,Mid_Vol,Risk-Off
2022-01-21,High_Vol,Risk-Off
2022-01-24,High_Vol,Risk-Off
2022-01-25,High_Vol,Risk-Off
2022-01-26,High_Vol,Risk-Off
2022-01-27,High_Vol,Risk-Off
2022-01-28,High_Vol,Risk-Off
2022-01-31,High_Vol,Risk-Off
2022-02-01,High_Vol,Risk-Off
2022-02-02,High_Vol,Risk-On
2022-02-03,High_Vol,Risk-Off
2022-02-04,High_Vol,Risk-On
2022-02-07,High_Vol,Risk-Off
2022-02-08,High_Vol,Risk-Off
2022-02-09,High_Vol,Risk-On
2022-02-10,High_Vol,Neutral
2022-02-11,High_Vol,Risk-Off
2022-02-14,High_Vol,Risk-Off
2022-02-15,High_Vol,Risk-Off
2022-02-16,High_Vol,Risk-Off
2022-02-17,High_Vol,Risk-Off
2022-02-18,High_Vol,Risk-Off
2022-02-22,High_Vol,Risk-Off
2022-02-23,High_Vol,Risk-Off
2022-02-24,High_Vol,Risk-Off
2022-02-25,High_Vol,Risk-Off
2022-02-28,High_Vol,Risk-Off
2022-03-01,High_Vol,Risk-Off
2022-03-02,High_Vol,Risk-Off
2022-03-03,High_Vol,Risk-Off
2022-03-04,High_Vol,Risk-Off
2022-03-07,High_Vol,Risk-Off
2022-03-08,High_Vol,Risk-Off
2022-03-09,High_Vol,Risk-Off
2022-03-10,High_Vol,Risk-Off
2022-03-11,High_Vol,Risk-Off
2022-03-14,High_Vol,Risk-Off
2022-03-15,High_Vol,Risk-Off
2022-03-16,High_Vol,Risk-Off
2022-03-17,High_Vol,Risk-On
2022-03-18,High_Vol,Risk-On
2022-03-21,High_Vol,Neutral
2022-03-22,High_Vol,Risk-Off
2022-03-23,High_Vol,Risk-Off
2022-03-24,High_Vol,Risk-Off
2022-03-25,High_Vol,Risk-Off
2022-03-28,High_Vol,Risk-Off
2022-03-29,High_Vol,Risk-Off
2022-03-30,High_Vol,Risk-Off
2022-03-31,High_Vol,Risk-Off
2022-04-01,High_Vol,Risk-On
2022-04-04,High_Vol,Risk-Off
2022-04-05,High_Vol,Risk-Off
2022-04-06,High_Vol,Risk-Off
2022-04-07,High_Vol,Risk-Off
2022-04-08,High_Vol,Risk-Off
2022-04-11,High_Vol,Risk-Off
2022-04-12,High_Vol,Risk-Off
2022-04-13,Mid_Vol,Risk-Off
2022-04-14,High_Vol,Risk-Off
2022-04-15,High_Vol,Risk-Off
2022-04-18,Mid_Vol,Risk-Off
2022-04-19,High_Vol,Risk-Off
2022-04-20,Mid_Vol,Risk-Off
2022-04-21,High_Vol,Risk-Off
2022-04-22,High_Vol,Risk-Off
2022-04-25,High_Vol,Risk-Off
2022-04-26,High_Vol,Risk-Off
2022-04-27,High_Vol,Risk-Off
2022-04-28,High_Vol,Risk-Off
2022-04-29,High_Vol,Risk-Off
2022-05-02,High_Vol,Risk-Off
2022-05-03,High_Vol,Risk-Off
2022-05-04,High_Vol,Risk-Off
2022-05-05,High_Vol,Risk-Off
2022-05-06,High_Vol,Risk-Off
2022-05-09,High_Vol,Risk-Off
2022-05-10,High_Vol,Risk-Off
2022-05-11,High_Vol,Risk-Off
2022-05-12,High_Vol,Risk-Off
2022-05-13,High_Vol,Risk-Off
2022-05-16,High_Vol,Risk-Off
2022-05-17,High_Vol,Risk-Off
2022-05-18,High_Vol,Risk-Off
2022-05-19,High_Vol,Risk-Off
2022-05-20,High_Vol,Risk-Off
2022-05-23,High_Vol,Risk-Off
2022-05-24,High_Vol,Risk-Off
2022-05-25,High_Vol,Risk-On
2022-05-26,High_Vol,Risk-On
2022-05-27,High_Vol,Risk-On
2022-05-31,High_Vol,Neutral
2022-06-01,High_Vol,Neutral
2022-06-02,High_Vol,Risk-On
2022-06-03,High_Vol,Risk-Off
2022-06-06,High_Vol,Risk-Off
2022-06-07,High_Vol,Risk-On
2022-06-08,High_Vol,Neutral
2022-06-09,High_Vol,Risk-Off
2022-06-10,High_Vol,Risk-Off
2022-06-13,High_Vol,Risk-Off
2022-06-14,High_Vol,Risk-Off
2022-06-15,High_Vol,Risk-Off
2022-06-16,High_Vol,Risk-Off
2022-06-17,High_Vol,Risk-Off
2022-06-21,High_Vol,Risk-Off
2022-06-22,High_Vol,Risk-Off
2022-06-23,High_Vol,Risk-Off
2022-06-24,High_Vol,Risk-On
2022-06-27,High_Vol,Neutral
2022-06-28,High_Vol,Neutral
2022-06-29,High_Vol,Neutral
2022-06-30,High_Vol,Risk-Off
2022-07-01,High_Vol,Risk-Off
2022-07-05,High_Vol,Risk-On
2022-07-06,High_Vol,Risk-On
2022-07-07,High_Vol,Risk-On
2022-07-08,High_Vol,Risk-Off
2022-07-11,High_Vol,Risk-Off
2022-07-12,High_Vol,Risk-Off
2022-07-13,High_Vol,Risk-Off
2022-07-14,Mid_Vol,Risk-Off
2022-07-15,High_Vol,Risk-Off
2022-07-18,Mid_Vol,Risk-Off
