date,curve_10y_2y,credit_spread_baa_aaa
2024-11-04,0.0013999999999999985,0.0064
2024-11-05,0.0006999999999999992,0.0064
2024-11-06,0.0015000000000000013,0.0064
2024-11-07,0.0010000000000000009,0.0064
2024-11-08,0.0003999999999999976,0.0064
2024-11-11,0.0003999999999999976,0.0064
2024-11-12,0.000899999999999998,0.0064
2024-11-13,0.0017000000000000001,0.0064
2024-11-14,0.000899999999999998,0.0064
2024-11-15,0.0011999999999999997,0.0064
2024-11-18,0.0013000000000000025,0.0064
2024-11-19,0.0011999999999999997,0.0064
2024-11-20,0.0010000000000000009,0.0064
2024-11-21,0.000899999999999998,0.0064
2024-11-22,0.0003999999999999976,0.0064
2024-11-25,0.0006000000000000033,0.0064
2024-11-26,0.000899999999999998,0.0064
2024-11-27,0.0006000000000000033,0.0064
2024-11-28,0.0006000000000000033,0.0064
2024-11-29,0.0004999999999999935,0.0064
2024-12-02,0.0001999999999999988,0.006
2024-12-03,0.0005999999999999964,0.006
2024-12-04,0.0005999999999999964,0.006
2024-12-05,0.0001999999999999988,0.006
2024-12-06,0.0005000000000000004,0.006
2024-12-09,0.0006999999999999992,0.006
2024-12-10,0.0006999999999999992,0.006
2024-12-11,0.0010999999999999968,0.006
2024-12-12,0.0014000000000000054,0.006
2024-12-13,0.0014999999999999944,0.006
2024-12-16,0.0013999999999999985,0.006
2024-12-17,0.0014999999999999944,0.006
2024-12-18,0.0015000000000000013,0.006
2024-12-19,0.0024999999999999953,0.006
2024-12-20,0.0022000000000000006,0.006
2024-12-23,0.0029000000000000067,0.006
2024-12-24,0.0030000000000000027,0.006
2024-12-25,0.0030000000000000027,0.006
2024-12-26,0.002800000000000004,0.006
2024-12-27,0.0030999999999999986,0.006
2024-12-30,0.0030999999999999986,0.006
2024-12-31,0.0032999999999999974,0.006
2025-01-01,0.0032999999999999974,0.0062
2025-01-02,0.0031999999999999945,0.0062
2025-01-03,0.0032000000000000015,0.0062
2025-01-06,0.0034000000000000002,0.0062
2025-01-07,0.003700000000000002,0.0062
2025-01-08,0.0039000000000000007,0.0062
2025-01-09,0.0040999999999999995,0.0062
2025-01-10,0.003700000000000002,0.0062
2025-01-13,0.0039000000000000007,0.0062
2025-01-14,0.0040999999999999995,0.0062
2025-01-15,0.0039000000000000007,0.0062
2025-01-16,0.0038000000000000048,0.0062
2025-01-17,0.0034000000000000002,0.0062
2025-01-20,0.0034000000000000002,0.0062
2025-01-21,0.002799999999999997,0.0062
2025-01-22,0.0030999999999999986,0.0062
2025-01-23,0.003599999999999999,0.0062
2025-01-24,0.003599999999999999,0.0062
2025-01-27,0.003599999999999999,0.0062
2025-01-28,0.003599999999999999,0.0062
2025-01-29,0.0034000000000000002,0.0062
2025-01-30,0.0034000000000000002,0.0062
2025-01-31,0.003599999999999999,0.0062
2025-02-03,0.002800000000000004,0.006
2025-02-04,0.0030999999999999986,0.006
2025-02-05,0.002599999999999998,0.006
2025-02-06,0.0023999999999999994,0.006
2025-02-07,0.0020000000000000018,0.006
2025-02-10,0.0023000000000000034,0.006
2025-02-11,0.0025000000000000022,0.006
2025-02-12,0.002599999999999998,0.006
2025-02-13,0.0020999999999999977,0.006
2025-02-14,0.0020999999999999977,0.006
2025-02-17,0.0020999999999999977,0.006
2025-02-18,0.002599999999999998,0.006
2025-02-19,0.0025000000000000022,0.006
2025-02-20,0.0022000000000000006,0.006
2025-02-21,0.0023000000000000034,0.006
2025-02-24,0.002699999999999994,0.006
2025-02-25,0.0022999999999999965,0.006
2025-02-26,0.0020000000000000018,0.006
2025-02-27,0.0022000000000000006,0.006
2025-02-28,0.0025000000000000022,0.006
2025-03-03,0.001999999999999995,0.0064
2025-03-04,0.002599999999999998,0.0064
2025-03-05,0.0029,0.0064
2025-03-06,0.0032999999999999974,0.0064
2025-03-07,0.0033000000000000043,0.0064
2025-03-10,0.0033000000000000043,0.0064
2025-03-11,0.0034000000000000002,0.0064
2025-03-12,0.0031000000000000055,0.0064
2025-03-13,0.0033000000000000043,0.0064
2025-03-14,0.0029,0.0064
2025-03-17,0.0025000000000000022,0.0064
2025-03-18,0.0025000000000000022,0.0064
2025-03-19,0.002600000000000005,0.0064
2025-03-20,0.0029,0.0064
2025-03-21,0.0031000000000000055,0.0064
2025-03-24,0.0030000000000000027,0.0064
2025-03-25,0.003499999999999996,0.0064
2025-03-26,0.003699999999999995,0.0064
2025-03-27,0.0040999999999999995,0.0064
2025-03-28,0.0038000000000000048,0.0064
