,date,spx_close,vix_close,R1,R2,M1,M2,V1,V2,V3_hl10,V3_hl20,S1_hl10,S1_hl20,D1,curve_10y_2y,credit_spread_baa_aaa,X1_corr_42,X1_corr_ewm_hl10,X1_corr_ewm_hl20,X2_beta_42,X2_beta_63,X2_beta_ewm_hl10,X2_beta_ewm_hl20,X3_mom_diff_42,M_LV_MOVE_level,M_CH_MOVE_d14,M_CH_MOVE_d21,spx_close_z,vix_close_z,R1_z,R2_z,M1_z,M2_z,V1_z,V2_z,V3_hl10_z,V3_hl20_z,S1_hl10_z,S1_hl20_z,D1_z,curve_10y_2y_z,credit_spread_baa_aaa_z,X1_corr_42_z,X1_corr_ewm_hl10_z,X1_corr_ewm_hl20_z,X2_beta_42_z,X2_beta_63_z,X2_beta_ewm_hl10_z,X2_beta_ewm_hl20_z,X3_mom_diff_42_z,M_LV_MOVE_level_z,M_CH_MOVE_d14_z,M_CH_MOVE_d21_z
0,2025-02-05,604.17,15.770000457763672,0.0039969205648526795,-0.0013397843462996661,-0.009127819001326642,0.0021540305253342495,0.0762938849140756,0.09952622117142657,0.0866413585064843,0.09546428461752107,1.8201469517105313,1.6519267410787593,-0.04442798353909466,0.002599999999999998,0.006,0.31886477975458744,0.1803966628486389,0.11508783456225265,0.36685848469929916,0.11396162500823985,0.1802823627286517,0.09909966464982642,0.0322271036629278,52.95000076293945,-3.5,-2.4699974060058594,-0.0786605571587883,-0.6498608240226827,0.2573169331623638,-0.1813411364170475,-0.44601868573068604,-0.27015261585734845,-0.4589969618019282,-0.34720504079403947,-0.5162207355411382,-0.6655488186132945,-0.04430444342707059,0.10284111252284293,0.333297612463188,-1.845252049384362,-1.305062355583222,1.5737780579564824,0.5755896795498846,0.3446714844594804,1.183847555764336,-0.17330529010323306,0.34433949418410176,-0.06034173544479453,0.22202627271481468,2.898654616553947,-0.00685213942159115,0.32724265162913774
1,2025-02-06,606.34,15.5,0.003585269554914561,0.0075157206458493775,-0.0026517569006330177,-0.001911290372909491,0.07709597608392237,0.09879137674157226,0.08437635859077279,0.09413642218368903,1.8370074578799191,1.64654653750859,-0.04328622636067733,0.0023999999999999994,0.006,0.3212299950410649,0.17170150018915267,0.11013426588598794,0.37087974365902093,0.12868161914991225,0.17184820324041133,0.09496014141338893,0.039922398445617624,53.0,-4.400001525878906,-4.700000762939453,-0.027996138741111114,-0.6952846963615514,0.22509652703389182,0.16789431458154905,-0.2496944110795218,-0.32691018224124807,-0.44991920351886233,-0.3572078831002388,-0.5464229528418686,-0.6883563997236469,-0.015774028257150997,0.09123261756384418,0.35438799855208697,-2.0188224040681635,-1.305062355583222,1.5897762392420731,0.5350460160772229,0.3029506185405339,1.2035655557507812,-0.08144568636780854,0.31716326010092866,-0.08358561575611989,0.31377185678171926,2.9023455799054725,-0.1404873683201029,0.0800043429203566
2,2025-02-07,600.78,16.540000915527344,-0.009212073894027561,-0.001696353248178184,0.0022829728543527494,-0.005924689357700075,0.07743164091338815,0.09972091440323073,0.08604722888445394,0.09458943814535267,1.9222002997606826,1.7486097010229447,-0.04328622636067733,0.0020000000000000018,0.006,0.3314705189382896,0.24358762297665715,0.14608596699730225,0.3854912619391609,0.12818802153302644,0.24816415454818364,0.12724120546923243,0.03657923706604471,53.400001525878906,-2.8999977111816406,-5.099998474121094,-0.1578091186499953,-0.5203188121904588,-0.7765665160191049,-0.19540318046422708,-0.1000962100920215,-0.38294284608402973,-0.4461202785330667,-0.34455483944978005,-0.5241430457473727,-0.6805753238932912,0.1283845826377285,0.311447281136242,0.35438799855208697,-2.365963113435767,-1.305062355583222,1.659042558762278,0.8702354639101897,0.6057497114066953,1.2752122515083901,-0.08452596486897433,0.5630656715874299,0.09767612536216422,0.27391369643043717,2.931873849922579,0.08223820198374186,0.035656984746008674
3,2025-02-10,604.79,15.8100004196167,0.006652479389328114,0.011875992013104408,0.0004961630162654274,0.0008767214489857622,0.07818576761414497,0.10042602284540358,0.0854717703521748,0.09404463935954871,1.8497335850741996,1.6811165981691278,-0.04328622636067733,0.0023000000000000034,0.006,0.31474562024861336,0.20610490009594745,0.12759310595153314,0.3720755795418071,0.29823010631391744,0.21254991297578762,0.11187699905435884,0.042312233074272676,52.20000076293945,-3.8999977111816335,-6.299999237060547,-0.06418500903945235,-0.6431313792809191,0.46517062902845285,0.3398507799406224,-0.1542640268837236,-0.28798563728621673,-0.4375853635986657,-0.3349567690701444,-0.5318163898031028,-0.6899328764374858,0.005760419683518874,0.16582205821906187,0.35438799855208697,-2.1056075814100614,-1.305062355583222,1.5459162980153904,0.6954616313750862,0.44999570322162474,1.2094292646431326,0.9766156616822071,0.44831079091252873,0.011404408889529313,0.3422641731933633,2.8432893214737125,-0.06624513393950324,-0.09738593564060502
4,2025-02-11,605.21,16.020000457763672,0.0006942149039135259,0.005716810518981319,0.005650341045063456,-0.002582541648314951,0.07631247712967801,0.10015929087703826,0.08258647494498723,0.09244090794821637,1.939784991239179,1.7329990383410958,-0.0392724745134384,0.0025000000000000022,0.006,0.30882183992516604,0.19928183331766722,0.12425631840531788,0.3633760301290027,0.28444581833977284,0.19915088491156738,0.1073564070628402,0.0476806494333708,51.310001373291016,5.210002899169929,-7.090000152587891,-0.05437899257151345,-0.6078017542760051,-0.001189702675259183,0.09695051295536447,0.001986831615357346,-0.3362817890043357,-0.45878654228164156,-0.3385875754138891,-0.5702898211971626,-0.7174788279692459,0.1581404240980126,0.2777652286478138,0.42852948653523426,-1.9320372267262598,-1.305062355583222,1.5058481858006818,0.6636471462247375,0.42189199155154994,1.1667715504988971,0.8905952992490981,0.4051369425085515,-0.013979214582439548,0.40626802337564627,2.777589216368226,1.286438146948305,-0.18497257071273573
5,2025-02-12,603.36,15.890000343322754,-0.0030614717309607187,-0.0013415817768320792,-0.0026813661231317454,-0.0014574364951451813,0.07637616149221559,0.10002932470032111,0.08029870162036508,0.09108796856055103,1.9788614289739386,1.7444675289645772,-0.03457508731082649,0.002599999999999998,0.006,0.34239704084576206,0.23374624405221006,0.14327599820769876,0.39253087220338356,0.2812264929361527,0.21149155230595929,0.11828991310872379,0.04113206586792906,51.59999847412109,2.3999977111816335,-6.30000305175782,-0.09757216034695161,-0.6296724897973918,-0.29515168927432794,-0.18141202186775668,-0.2505920258706809,-0.3205737472486435,-0.4580657872462287,-0.34035669975915905,-0.6007957062551528,-0.7407171349168397,0.22426340882538534,0.302510001564616,0.5152989954858728,-1.845252049384362,-1.305062355583222,1.7329489296943958,0.8243472418210467,0.5820830704919935,1.3097305544788924,0.8705052127296525,0.44490058064228405,0.047413629810042476,0.3281938701445234,2.798996916448052,0.8691992026741747,-0.09738635857239077
6,2025-02-13,609.69,15.100000381469728,0.010436597760278055,0.005509746428531415,0.013025467074380792,0.03911902730015626,0.07042948966858772,0.08634300976186658,0.08362721730837773,0.09225817950031363,1.8056322890415029,1.636711288175635,-0.03457508731082649,0.0020999999999999977,0.006,0.36822634604038873,0.3553479466389115,0.20641833012481373,0.4133998191461724,0.3173435374872297,0.29938509820882536,0.16757805193042521,0.02805945828972689,51.400001525878906,2.450000762939453,-5.299999237060547,0.05021851641981701,-0.762579143779188,0.7613580008717705,0.08878450536144436,0.22556656968049518,0.24593044642537817,-0.5253679237526375,-0.5266574248112416,-0.5564122370104447,-0.7206174015070809,-0.06886535208772385,0.07001177697425465,0.5152989954858728,-2.279177936093869,-1.305062355583222,1.9076568767244078,1.3913496890954753,1.1138921430796445,1.4120601730527502,1.0958923540984242,0.7281078855535588,0.32417197469750153,0.17233836994490953,2.7842330630419525,0.8766238226055185,0.013483094192942233
7,2025-02-14,609.7,14.770000457763672,1.6401643445185243e-05,0.014738221966004161,0.013041868717825977,0.03944248614394574,0.06541118487830846,0.0863412727597097,0.08077858222724447,0.09067324596833416,1.8284550248991795,1.6289259637756657,-0.03457508731082649,0.0020999999999999977,0.006,0.37158121985262627,0.34689274637060497,0.2048019453110922,0.4227971865602632,0.32206572439706493,0.28976854753904624,0.16582201826470147,0.012675645925092738,51.29999923706055,3.3699989318847656,-5.150001525878906,0.05045199300238673,-0.8180971030093933,-0.05424293952954674,0.45272883368784944,0.22606379171178456,0.25044638434476163,-0.5821631604906378,-0.5266810692153563,-0.5943968281506363,-0.7478404776060253,-0.030245981898521006,0.0532139183295921,0.5152989954858728,-2.279177936093869,-1.305062355583222,1.9303490518280069,1.3519249183698596,1.1002783267597405,1.458139595541991,1.1253609947872165,0.6971217947120235,0.31431165165608094,-0.011071998393922061,2.776850854736449,1.0132282197737967,0.03011319490890335
8,2025-02-18,611.35,15.350000381469728,0.002702593676428222,0.010094121349190743,0.015810931868172062,0.027478037317338,0.06238825996052444,0.08444804717869246,0.07580264962856241,0.08777470286294858,2.0249952286213824,1.7487954821604144,-0.03457508731082649,0.002599999999999998,0.006,0.34912603204812914,0.3011612062818192,0.18340117881024853,0.38733946763655625,0.31708659457243893,0.23523552856546726,0.1434939822523029,0.02606311183348886,51.09999847412109,-0.8500022888183665,-6.30000305175782,0.08897562912642516,-0.7205200740325104,0.15600845340348615,0.2695789653479189,0.3100089895808316,0.0834059426378536,-0.6163754579739059,-0.5524520163268867,-0.6607474697452407,-0.7976263253667403,0.30232847069744245,0.31184812831045516,0.5152989954858728,-1.845252049384362,-1.305062355583222,1.7784634423648003,1.1386886346962632,0.9200328172904642,1.2842748163124014,1.0942889109103262,0.5214075352230443,0.1889372626223808,0.14853733609245032,2.7620867197278955,0.38662836092362474,-0.09738635857239077
9,2025-02-19,612.9,15.270000457763672,0.002532163901487472,0.015687756981638934,0.014346175204806855,0.019107812446163663,0.06072738676264781,0.08229643309811653,0.07361238854744044,0.08643625095987971,2.074379158057441,1.7666199410767367,-0.03457508731082649,0.0025000000000000022,0.006,0.35595340235908207,0.3023521608351563,0.18323728890780602,0.39443467639730206,0.31003226146536955,0.23636014154637472,0.14353024393406089,0.03396405725426899,51.25,-0.75,-5.049999237060547,0.12516449942476374,-0.7339789635160381,0.14266871553717914,0.4901757426691174,0.26560433672167605,-0.033454104985713176,-0.6351725797923983,-0.5817401968960261,-0.6899530960494688,-0.8206157929228428,0.3858932222759485,0.3503067365728366,0.5152989954858728,-1.9320372267262598,-1.305062355583222,1.8246433857141233,1.1442417982784368,0.9186524733218753,1.3190657431463928,1.0502665942166964,0.5250312212186351,0.18914087597167933,0.24273474798897465,2.7731598913849242,0.40147703436733573,0.04120035165132905
